name_ru,name_eng
Геркулес,Gerkules
Герман,German
Гермоген,Germogen
Геронтий,Gerontij
Гертруд,Gertrud
Ги,Gi
Гиацинт,Giatsint
Гидеон,Gideon
Гийом,Gijom
Гил,Gil
Гилберт,Gilbert
Гильберт,Gilbert
Глеб,Gleb
Говард,Govard
Гораций,Goratsij
Горацио,Goratsio
Горгоний,Gorgonij
Гордей,Gordej
Гостомысл,Gostomysl
Годвин,Godvin
Готлиб,Gotlib
Годфри,Godfri
Готфрид,Gotfrid
Гордон,Gordon
Грегори,Gregori
Грейам,Grejam
Гремислав,Gremislav
Григорий,Grigorij
Гриффит,Griffit
Грэхем,Grehem
Гурий,Gurij
Гурьян,Gurjan
Густав,Gustav
Давид,David
Давыд,Davyd
Далмат,Dalmat
Дамиан,Damian
Дамир,Damir
Дан,Dan
Даниил,Daniil
Данил,Danil
Данила,Danila
Данни,Danni
Дейв,Dejv
Дементий,Dementij
Демид,Demid
Демьян,Demjan
Дени,Deni
Денис,Denis
Денисий,Denisij
Деннис,Dennis
Десмонд,Desmond
Джалил,Dzhalil
Джамал,Dzhamal
Джаспер,Dzhasper
Джафар,Dzhafar
Джей,Dzhej
Джейк,Dzhejk
Джейкоб,Dzhejkob
Джеймс,Dzhejms
Джек,Dzhek
Джекоб,Dzhekob
Джексон,Dzhekson
Джем,Dzhem
Джемс,Dzhems
Джеральд,Dzherald
Джерард,Dzherard
Джереми,Dzheremi
Джером,Dzherom
Джерри,Dzherri
Джефф,Dzheff
Джеффри,Dzheffri
Джим,Dzhim
Джимми,Dzhimmi
Джин,Dzhin
Джо,Dzho
Джоб,Dzhob
Джозеф,Dzhozef
Джой,Dzhoj
Джойс,Dzhojs
Джок,Dzhok
Джон,Dzhon
Джонни,Dzhonni
Джонатан,Dzhonatan
Джордж,Dzhordzh
Джош,Dzhosh
Джошуа,Dzhoshua
Джулиан,Dzhulian
Джулио,Dzhulio
Джулиус,Dzhulius
Дик,Dik
Дики,Diki
Дикки,Dikki
Дикон,Dikon
Димитрий,Dimitrij
Дин,Din
Дио,Dio
Диомид,Diomid
Дионис,Dionis
Дионисий,Dionisij
Дмитрий,Dmitrij
Доб,Dob
Доббин,Dobbin
Добромысл,Dobromysl
Добрыня,Dobrynja
Довмонт,Dovmont
Доминик,Dominik
Дональд,Donald
Донат,Donat
Донован,Donovan
Дориан,Dorian
Доримедонт,Dorimedont
Дормедонт,Dormedont
Дормидонт,Dormidont
Дорофей,Dorofej
Досифей,Dosifej
Дуглас,Duglas
Дэви,Devi
Дэвид,Devid
Дэмиен,Demien
Дэн,Den
Дэниел,Deniel
Дэнни,Denni
Евгений,Evgenij
Евграф,Evgraf
Евграфий,Evgrafij
Евдоким,Evdokim
Евлампий,Evlampij
Евлогий,Evlogij
Евмен,Evmen
Евмений,Evmenij
Евсей,Evsej
Евстафий,Evstafij
Евстахий,Evstahij
Евстигней,Evstignej
Евстрат,Evstrat
Евстратий,Evstratij
Евтихий,Evtihij
Евфимий,Evfimij
Егор,Egor
Егорий,Egorij
Елизар,Elizar
Елисей,Elisej
Елистрат,Elistrat
Елпидифор,Elpidifor
Емельян,Emeljan
Енох,Enoh
Епифан,Epifan
Епифаний,Epifanij
Еремей,Eremej
Ермий,Ermij
Ермил,Ermil
Ермила,Ermila
Ермилий,Ermilij
Ермолай,Ermolaj
Ерофей,Erofej
Ефим,Efim
Ефимий,Efimij
Ефрем,Efrem
Ефремий,Efremij
Жакоб,Zhakob
Жан,Zhan
Жерар,Zherar
Жиль,Zhil
Жильбер,Zhilber
Жорес,Zhores
Жорж,Zhorzh
Жюль,Zhjul
Жюльен,Zhjulen
Закир,Zakir
Замир,Zamir
Захар,Zahar
Захарий,Zaharij
Захария,Zaharija
Зенон,Zenon
Зигмунд,Zigmund
Зигфрид,Zigfrid
Зиновий,Zinovij
Зосим,Zosim
Зосима,Zosima
Иаким,Iakim
Иакинф,Iakinf
Иаков,Iakov
Иван,Ivan
Игнат,Ignat
Игнатий,Ignatij
Игорь,Igor
Иеремия,Ieremija
Иероним,Ieronim
Измаил,Izmail
Измарагд,Izmaragd
Изосим,Izosim
Изот,Izot
Израиль,Izrail
Изяслав,Izjaslav
Иисус,Iisus
Иларион,Ilarion
Илларион,Illarion
Илиодор,Iliodor
Ильдар,Ildar
